"","exposure","outcome","id.exposure","id.outcome","samplesize","SNP","b","se","p"
"1","Systemic lupus erythematosus || id:ebi-a-GCST90011866","Sicca syndrome [Sj<c2><9a>gren] || id:finn-b-M13_SJOGREN","ebi-a-GCST90011866","finn-b-M13_SJOGREN",NA,"rs10036748",0.498762988619495,0.222662048490846,0.0250909228718931
"2","Systemic lupus erythematosus || id:ebi-a-GCST90011866","Sicca syndrome [Sj<c2><9a>gren] || id:finn-b-M13_SJOGREN","ebi-a-GCST90011866","finn-b-M13_SJOGREN",NA,"rs10516487",0.197487239890067,0.170789163722026,0.247549538658043
"3","Systemic lupus erythematosus || id:ebi-a-GCST90011866","Sicca syndrome [Sj<c2><9a>gren] || id:finn-b-M13_SJOGREN","ebi-a-GCST90011866","finn-b-M13_SJOGREN",NA,"rs1167791",0.286723876829884,0.203937405350833,0.159741765787491
"4","Systemic lupus erythematosus || id:ebi-a-GCST90011866","Sicca syndrome [Sj<c2><9a>gren] || id:finn-b-M13_SJOGREN","ebi-a-GCST90011866","finn-b-M13_SJOGREN",NA,"rs11889341",0.528578290105668,0.115033621517771,4.32770932328682e-06
"5","Systemic lupus erythematosus || id:ebi-a-GCST90011866","Sicca syndrome [Sj<c2><9a>gren] || id:finn-b-M13_SJOGREN","ebi-a-GCST90011866","finn-b-M13_SJOGREN",NA,"rs12599402",0.103883005547151,0.205244578920827,0.612756612708208
"6","Systemic lupus erythematosus || id:ebi-a-GCST90011866","Sicca syndrome [Sj<c2><9a>gren] || id:finn-b-M13_SJOGREN","ebi-a-GCST90011866","finn-b-M13_SJOGREN",NA,"rs13213165",1.20637119113573,0.221952908587258,5.47173826131084e-08
"7","Systemic lupus erythematosus || id:ebi-a-GCST90011866","Sicca syndrome [Sj<c2><9a>gren] || id:finn-b-M13_SJOGREN","ebi-a-GCST90011866","finn-b-M13_SJOGREN",NA,"rs13385731",-0.211548987411056,0.25615763546798,0.408886519820413
"8","Systemic lupus erythematosus || id:ebi-a-GCST90011866","Sicca syndrome [Sj<c2><9a>gren] || id:finn-b-M13_SJOGREN","ebi-a-GCST90011866","finn-b-M13_SJOGREN",NA,"rs16869875",-0.594055289960507,0.28476408231137,0.0369667232842052
"9","Systemic lupus erythematosus || id:ebi-a-GCST90011866","Sicca syndrome [Sj<c2><9a>gren] || id:finn-b-M13_SJOGREN","ebi-a-GCST90011866","finn-b-M13_SJOGREN",NA,"rs16870693",-2.67316186022343,2.13821771888802,0.21123297566423
"10","Systemic lupus erythematosus || id:ebi-a-GCST90011866","Sicca syndrome [Sj<c2><9a>gren] || id:finn-b-M13_SJOGREN","ebi-a-GCST90011866","finn-b-M13_SJOGREN",NA,"rs201036579",2.3679638637943,1.13029881862404,0.0361719489347331
"11","Systemic lupus erythematosus || id:ebi-a-GCST90011866","Sicca syndrome [Sj<c2><9a>gren] || id:finn-b-M13_SJOGREN","ebi-a-GCST90011866","finn-b-M13_SJOGREN",NA,"rs2431697",0.29866036249015,0.16193853427896,0.0651420186145859
